id,openness,conscientiousness,extraversion,agreeableness,neuroticism
1,3.26,3.45,3.73,3.53,1.52
2,3.26,3.34,3.36,3.72,4.03
3,3.58,2.99,2.52,3.71,4.24
4,3.33,3.81,2.05,3.41,3.35
5,3.36,3.64,3.57,4.03,2.12
6,2.43,1.87,2.83,3.02,3.83
7,2.65,3.94,2.53,3.52,2.8
8,3.99,3.87,3.5,3.98,3.36
9,2.8,3.28,3.47,3.48,4.85
10,2.51,4.04,4.17,3.94,3.45
11,3.55,2.5,3.06,4.1,1.96
12,3.58,3.31,3.79,3.95,5.0
13,3.07,3.1,2.66,4.14,2.54
14,3.91,3.07,2.95,2.5,1.91
15,3.61,4.27,3.07,3.79,2.91
16,4.19,3.56,2.61,4.09,3.51
17,3.56,4.55,3.16,4.49,3.31
18,2.53,3.46,4.24,4.12,3.39
19,3.54,4.07,2.28,3.34,2.3
20,2.92,3.07,4.63,3.25,3.0
21,2.55,3.62,2.25,4.13,2.93
22,3.94,4.09,2.61,3.41,3.76
23,2.49,3.92,4.02,4.43,3.98
24,3.04,2.75,3.37,3.48,4.73
25,3.53,2.62,2.76,3.79,3.49
26,3.59,2.68,3.86,3.84,3.7
27,4.09,3.62,3.62,4.4,3.27
28,4.95,3.62,3.02,3.65,4.31
29,3.78,4.21,2.81,2.56,3.2
30,3.01,4.0,3.73,2.99,3.42
31,2.33,3.79,3.12,3.16,3.32
32,3.07,3.69,4.11,3.15,3.36
33,4.99,2.38,3.76,3.42,2.81
34,3.68,4.65,3.23,3.72,2.93
35,3.34,3.4,3.22,2.37,4.53
36,4.59,2.91,3.4,5,2.08
37,2.79,3.93,3.46,4.45,2.29
38,2.86,4.4,3.25,2.51,2.47
39,5,3.7,3.73,2.79,2.49
40,3.76,3.84,2.83,2.91,2.21
41,3.68,2.23,2.7,3.93,3.98
42,4.11,3.25,2.62,3.19,4.29
43,3.89,5,3.37,3.92,3.43
44,4.99,4.43,2.04,3.37,3.23
45,2.57,2.07,1.83,3.52,3.0
46,2.91,2.73,1.65,3.78,3.32
47,4.1,3.29,4.48,3.47,2.55
48,2.91,2.25,3.22,3.78,2.44
49,3.55,4.6,3.09,3.33,2.19
50,2.5,3.43,3.23,4.71,3.73
51,3.06,3.8,2.5,3.74,3.54
52,4.68,3.92,1.52,3.97,2.34
53,3.73,3.73,1.57,2.9,3.6
54,4.93,4.45,1.82,4.0,1.5
55,3.82,2.65,5,3.91,1.6
56,2.93,3.54,2.89,4.41,1.69
57,4.72,2.97,3.43,3.71,2.36
58,3.57,2.87,4.74,4.04,2.91
59,2.76,4.3,2.96,3.91,2.57
60,3.41,3.9,3.18,4.07,3.66
61,2.78,2.95,2.58,3.02,3.65
62,4.49,4.87,3.21,2.67,2.55
63,2.35,3.36,3.41,3.33,2.19
64,4.54,3.48,2.38,3.41,3.57
65,3.63,4.01,3.66,4.47,2.23
66,3.01,3.15,4.38,4.04,3.19
67,3.61,3.24,2.22,3.27,2.82
68,3.33,3.82,2.31,4.33,2.92
69,2.84,3.98,1.87,3.43,2.18
70,3.56,3.52,4.12,3.73,2.63
71,3.72,3.94,4.12,3.21,2.62
72,3.33,3.51,1.82,4.1,3.47
73,5,3.2,3.4,3.55,4.93
74,3.48,2.79,1,2.47,1.22
75,2.95,3.26,2.48,3.91,2.18
76,2.9,2.91,3.56,3.55,4.51
77,2.57,3.15,2.77,4.03,3.28
78,3.99,3.19,3.07,3.71,4.25
79,3.14,2.88,3.73,3.25,3.18
80,3.84,2.89,2.2,4.33,1.22
81,3.44,2.91,4.26,4.5,1.11
82,3.75,2.86,2.6,3.75,3.16
83,3.43,3.06,4.19,3.31,3.15
84,3.4,3.45,2.97,3.02,3.49
85,3.78,3.8,4.15,4.09,3.53
86,4.04,3.52,2.46,3.6,1.25
87,3.69,4.24,3.32,4.16,2.9
88,2.26,3.02,1.9,4.03,2.46
89,3.54,4.07,4.16,3.18,2.8
90,2.19,3.96,4.04,3.62,2.32
91,1.92,3.5,3.53,3.2,4.43
92,3.36,3.35,3.08,3.24,1.97
93,4.33,3.84,2.6,4.78,5
94,2.8,2.96,3.57,3.04,2.92
95,2.51,4.59,4.67,2.8,1.9
96,2.64,3.37,1.08,3.48,4.45
97,3.04,2.72,3.49,3.52,4.37
98,3.17,3.81,2.84,2.79,3.22
99,3.49,3.74,2.76,3.86,4.42
100,4.45,3.47,2.37,5,2.76
101,4.18,2.35,3.57,3.22,2.03
102,3.21,4.03,3.16,3.51,1.74
103,2.86,2.98,2.84,3.64,1.85
104,2.83,3.52,3.56,3.72,3.27
105,2.89,3.83,3.38,2.72,2.63
106,3.46,3.32,3.8,3.69,3.81
107,3.52,3.02,3.08,4.35,2.73
108,3.03,3.99,2.48,4.15,2.01
109,3.39,3.68,3.23,4.29,2.26
110,2.83,4.21,3.79,3.9,3.18
111,3.05,3.88,3.03,3.71,1.48
